,STOCK,SMB
680,EXEL,0.343782852
340,CFBK,0.349687534
1265,MOH,0.363520117
2006,VMW,0.363889215
690,EXTR,0.36533601
2082,WT,0.372389048
1033,IPI,0.373633566
110,APT,0.377855534
1807,SUZ,0.384092841
421,CORT,0.385259181
1391,NWPX,0.386281582
1798,STNG,0.390025666
1166,LRN,0.394493116
759,FNCB,0.39599289
99,ANIP,0.396908913
53,AGYS,0.399123545
1069,JKS,0.402532392
1977,UUUU,0.407503326
1215,MEIP,0.410114103
597,EGLE,0.41682087
1714,SIFY,0.431042805
861,GOL,0.43224426
927,HLF,0.441710299
928,HLIO,0.441838741
1094,KFS,0.446656617
595,EGAN,0.446862318
836,GHM,0.447879081
249,BOOM,0.453529271
877,GRVY,0.45772301
1608,REPX,0.475429506
1292,MTG,0.483483866
1230,MGM,0.508121001
670,EVI,0.509734104
1790,STCN,0.515543473
2007,VNDA,0.528891208
815,GDOT,0.529104115
1053,JAN,0.531556874
397,CMT,0.532954405
957,HSON,0.562041435
542,DNN,0.565539332
871,GRBK,0.574779115
838,GIC,0.589976692
1136,LEU,0.607185247
219,BHRB,0.63168237
2109,ZYXI,0.696921632
564,DVAX,0.72684925
1240,MITK,0.818847705
613,ELTK,0.837071101
2098,XTNT,0.987990805
1154,LNG,1.042135053
634,EPSN,1.097589543
553,DRS,1.185604608
1321,NCPL,1.336209456
354,CHRD,10.13338567
